PFAS_Name,CASRN,PFAS_Class,Chain_Length,MW,LogKow,Species,Species_Group,Trophic_Level,Is_Aquatic,is_fish,is_mammal,is_plant,is_human,PFAS_Class_encoded,Tissue,Exposure Route,Duration_days,Concentration_ng_g,log_concentration,BCF,log_BCF,Study Year
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,250.0,2.3979400086720375,,,2022
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,250.0,2.3979400086720375,,,2022
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,0,0,0,0,0.0,Brain,Renewal,,4201.3412,3.6233879529638435,,,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,0,0,0,0,0.0,Brain,Renewal,,4201.3412,3.6233879529638435,,,2025
,29420-49-3,,,,,Zebra Danio,Other,2,0,0,0,0,0,-1.0,Whole organism,Static,,15942.1227,4.2025461473938375,0.63,-0.2006594505464183,2022
,29420-49-3,,,,,Zebra Danio,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,1522.981509,3.1826946304614427,3.0,0.47712125471966244,2021
,29420-49-3,,,,,Zebra Danio,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,108.542112,2.0355982677780258,4.0,0.6020599913279624,2021
,29420-49-3,,,,,Zebra Danio,Other,2,0,0,0,0,0,-1.0,Whole organism,Static,,50.07,1.699577591398909,3.35,0.5250448070368452,2023
,29420-49-3,,,,,Zebra Danio,Other,2,0,0,0,0,0,-1.0,Whole organism,Static,,510.0,2.7075701760979363,3.8,0.5797835966168101,2023
,29420-49-3,,,,,Rainbow Trout,Fish,3,1,1,0,0,0,-1.0,Plasma,Flow-through,,5.694,0.7554174628109362,0.09,-1.0457574905606752,2024
,29420-49-3,,,,,Mussel,Other,2,0,0,0,0,0,-1.0,Gill(s),Static,,33.91941,1.5304482894581197,,,2006
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,3130.0,3.4955443375464483,7.77,0.8904210188009143,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,3130.0,3.4955443375464483,10.8,1.0334237554869496,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,5050.0,3.7032913781186614,11.8,1.0718820073061255,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,3130.0,3.4955443375464483,13.0,1.1139433523068367,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,1160.0,3.0644579892269186,14.8,1.1702617153949575,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,1160.0,3.0644579892269186,16.0,1.2041199826559248,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,5050.0,3.7032913781186614,16.5,1.2174839442139063,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,1160.0,3.0644579892269186,16.5,1.2174839442139063,2025
